founders type generation contribution sex
M0005 genetic gen3 0.0520231213872832 male
M0005 genealogical gen1 NA male
M0005 genetic gen4 0.1 male
M0005 genetic gen2 NA male
M0005 genealogical gen4 0.277988806312506 male
M0005 genealogical gen2 0.142857142857143 male
M0005 genetic gen1 NA male
M0005 genealogical gen3 0.189099917423617 male
M0006 genetic gen3 0.0361271676300578 male
M0006 genetic gen4 0.0694444444444444 male
M0006 genetic gen1 NA male
M0006 genetic gen2 NA male
M0006 genealogical gen1 NA male
M0006 genealogical gen2 0.122448979591837 male
M0006 genealogical gen4 0.139340437523757 male
M0006 genealogical gen3 0.128229326412646 male
M0007 genetic gen3 NA male
M0007 genetic gen4 0.0111111111111111 male
M0007 genealogical gen2 NA male
M0007 genetic gen1 NA male
M0007 genealogical gen1 NA male
M0007 genealogical gen4 0 male
M0007 genetic gen2 NA male
M0007 genealogical gen3 0 male
M0008 genetic gen4 0.0111111111111111 male
M0008 genetic gen2 NA male
M0008 genetic gen1 NA male
M0008 genealogical gen3 0 male
M0008 genealogical gen1 NA male
M0008 genealogical gen2 NA male
M0008 genetic gen3 NA male
M0008 genealogical gen4 0 male
M0009 genetic gen4 0.0111111111111111 male
M0009 genealogical gen1 NA male
M0009 genetic gen3 NA male
M0009 genetic gen2 NA male
M0009 genetic gen1 NA male
M0009 genealogical gen4 0 male
M0009 genealogical gen3 0 male
M0009 genealogical gen2 NA male
M0010 genealogical gen1 NA male
M0010 genealogical gen2 NA male
M0010 genetic gen2 NA male
M0010 genetic gen4 0.0222222222222222 male
M0010 genetic gen3 NA male
M0010 genealogical gen3 0 male
M0010 genetic gen1 NA male
M0010 genealogical gen4 0 male
M0011 genetic gen4 0.0111111111111111 male
M0011 genetic gen1 NA male
M0011 genealogical gen2 NA male
M0011 genealogical gen3 0 male
M0011 genetic gen2 NA male
M0011 genealogical gen1 NA male
M0011 genetic gen3 NA male
M0011 genealogical gen4 0 male
M0012 genealogical gen1 NA male
M0012 genetic gen3 0.0115606936416185 male
M0012 genetic gen2 NA male
M0012 genetic gen1 NA male
M0012 genetic gen4 0.0222222222222222 male
