Sample	ID	Sex	Age	Trapping_month	Trapping_year	Study_year	Birth_year	Loation	Dupliated
Af_445	341698	m	juv	July	2017	2017/2018	2017	Plot	0
Af_446	1316201	m	ad	July	2016	2016/2017	2015	Plot	0
Af_447	341896	m	NA	July	2017	2017/2018	NA	Plot	0
Af_448	341585	m	juv	July	2017	2017/2018	2017	Plot	0
Af_449	341620	m	ad?	July	2017	2017/2018	2016	Plot	0
Af_450	341892	f	NA	July	2017	2017/2018	NA	Plot	0
Af_451	341437	m	ad	July	2017	2017/2018	2016	Plot	0
Af_452	341591	m	ad	July	2017	2017/2018	2016	Plot	0
Af_453	341756	f	NA	Nov	2016	2016/2017	NA	Plot	0
Af_454	341750	f	NA	Nov	2016	2016/2017	NA	Plot	0
Af_455	341702	m	juv	July	2017	2017/2018	2017	Plot	0
Af_456	341607	f	juv	July	2017	2017/2018	2017	Plot	0
Af_457	341603	f	ad	July	2017	2017/2018	2016	Plot	0
Af_458	341592	m	juv	July	2017	2017/2018	2017	Plot	0
Af_459	341609	f	NA	July	2017	2017/2018	NA	Plot	0
Af_460	341682	m	juv	July	2017	2017/2018	2017	Plot	0
Af_461	341434	m	juv	July	2017	2017/2018	2017	Plot	0
Af_462	341583	m	NA	July	2017	2017/2018	NA	Plot	0
Af_463	341430	f	ad	July	2017	2017/2018	2016	Plot	0
Af_464	341427	m	juv	July	2017	2017/2018	2017	Plot	0
Af_465	341440	m	juv	July	2017	2017/2018	2017	Plot	0
Af_466	341893	f	NA	July	2017	2017/2018	NA	Plot	0
Af_467	341843	f	juv	July	2017	2017/2018	2017	Plot	0
Af_468	341714	m	juv	July	2017	2017/2018	2017	Plot	0
Af_469	341424	m	juv	July	2017	2017/2018	2017	Plot	0
Af_470	341618	f	juv	July	2017	2017/2018	2017	Plot	0
Af_471	341590	f	juv	July	2017	2017/2018	2017	Plot	0
Af_472	341617	m	juv	July	2017	2017/2018	2017	Plot	0
Af_473	341899	m	NA	July	2017	2017/2018	NA	Plot	0
Af_474	341888	m	juv	July	2017	2017/2018	2017	Plot	0
Af_475	341692	f	NA	July	2017	2017/2018	NA	Plot	0
Af_476	341768	m	juv	Oct	2016	2016/2017	2016	Plot	0
Af_477	341749	m	ad?	Nov	2016	2016/2017	2015	Plot	1
Af_478	341600	m	juv	July	2017	2017/2018	2017	Plot	0
Af_479	341438	f	ad	July	2017	2017/2018	2016	Plot	1
Af_480	341429	f	juv	July	2017	2017/2018	2017	Plot	0
Af_481	341595	f	juv	July	2017	2017/2018	2017	Plot	0
Af_482	341426	f	ad	Apr	2017	2017/2018	2016	Plot	1
Af_483	341431	m	juv	July	2017	2017/2018	2017	Plot	0
Af_484	341710	m	ad	July	2017	2017/2018	2016	Plot	0
Af_485	341422	m	juv	July	2017	2017/2018	2017	Plot	0
Af_486	341428	m	ad	July	2017	2017/2018	2016	Plot	0
Af_487	341709	f	juv	July	2017	2017/2018	2017	Plot	0
Af_488	341855	f	ad	July	2017	2017/2018	2016	Plot	0
Af_489	341433	f	ad	July	2017	2017/2018	2016	Plot	1
Af_490	1316230	f	ad	July	2016	2016/2017	2015	Plot	0
Af_491	1194295	f	ad	July	2016	2016/2017	2015	Plot	0
Af_492	341853	f	juv?	July	2017	2017/2018	2017	Plot	0
Af_493	341604	m	ad	July	2017	2017/2018	2016	Plot	0
Af_494	341594	f	juv	July	2017	2017/2018	2017	Plot	0
Af_495	341761	m	NA	Nov	2016	2016/2017	NA	Plot	0
Af_496	341885	m	juv	July	2017	2017/2018	2017	Plot	0
Af_497	341439	f	juv	July	2017	2017/2018	2017	Plot	0
Af_498	341884	m	juv	July	2017	2017/2018	2017	Plot	0
Af_499	341741	f	juv	Oct	2016	2016/2017	2016	Plot	1
Af_500	341845	m	ad	July	2017	2017/2018	2016	Plot	0
Af_501	341602	m	juv	July	2017	2017/2018	2017	Plot	1
Af_502	341615	f	juv?	July	2017	2017/2018	2017	Plot	0
Af_503	341613	m	juv	July	2017	2017/2018	2017	Plot	0
Af_504	341619	f	juv?	July	2017	2017/2018	2017	Plot	0
Af_505	341969	m	NA	Oct	2016	2016/2017	NA	Plot	0
Af_506	341423	m	ad?	July	2017	2017/2018	2016	Plot	0
Af_507	341860	m	juv	July	2017	2017/2018	2017	Plot	0
Af_508	341612	m	juv	July	2017	2017/2018	2017	Plot	0
Af_509	341611	m	juv?	July	2017	2017/2018	2017	Plot	0
Af_510	341423	m	ad?	July	2017	2017/2018	2016	Plot	0
Af_511	341690	f	ad	July	2017	2017/2018	2016	Plot	0
Af_512	341421	f	juv	July	2017	2017/2018	2017	Plot	0
Af_513	P55	f	NA	Dec	2017	2017/2018	NA	Plot	0
Af_514	ZBS9	m	NA	Dec	2017	2017/2018	NA	Institute	0
Af_516	ZBS7	f	NA	Dec	2017	2017/2018	NA	Institute	0
Af_517	BRAMA3	m	NA	Dec	2017	2017/2018	NA	Forest1	0
Af_518	BRAMA4	m	NA	Dec	2017	2017/2018	NA	Forest1	0
Af_519	ZBS8	f	NA	Dec	2017	2017/2018	NA	Institute	0
Af_520	P54B	f	NA	Dec	2017	2017/2018	NA	Plot	0
Af_521	BRAMA4	m	NA	Dec	2017	2017/2018	NA	Forest1	0
Af_522	ZBS2	m	NA	Dec	2017	2017/2018	NA	Institute	0
Af_523	BRAMA5	m	NA	Dec	2017	2017/2018	NA	Forest1	1
Af_524	TROPINKA	m	NA	Dec	2017	2017/2018	NA	Janekshome	0
Af_525	ZBS6	m	NA	Dec	2017	2017/2018	NA	Institute	0
Af_526	NA	m	NA	Dec	2017	2017/2018	NA	Plot	0
Af_527	BRAMA6	m	NA	Dec	2017	2017/2018	NA	Forest1	1
Af_528	BRAMA2	m	NA	Dec	2017	2017/2018	NA	Forest1	0
Af_529	ZBS5	m	NA	Dec	2017	2017/2018	NA	Institute	0
