sample	coverage_type	mean	stdev	max	n_reads	percentage
Af_270	secondary	63.13	40.95	597	4566868	84.3
Af_271	secondary	10.51	7.16	136	442515	79.3
Af_272	secondary	6.55	3.07	45	220767	76.7
Af_273	secondary	17.01	10.69	160	984013	82.8
Af_274	secondary	48.82	30.09	452	3242079	89.5
Af_275	secondary	53.73	32.36	478	3568145	88.4
Af_277	secondary	19.61	12.4	189	1152280	83.3
Af_278	secondary	54.74	31.33	568	3706518	88.5
Af_279	secondary	35.85	21.99	332	2360329	89.2
Af_280	secondary	20.15	13.73	248	1172381	81.3
Af_281	secondary	9.98	6.2	102	435055	79.6
Af_282	secondary	5.62	8.77	84	585	5.8
Af_283	secondary	34.83	20.74	349	2211444	88.4
Af_284	secondary	7.64	3.91	60	283602	80.2
Af_285	secondary	22.8	13.57	243	1403774	87.7
Af_286	secondary	33.81	19.93	309	2183786	85.9
Af_287	secondary	61.21	37.21	529	4223499	87.9
Af_288	secondary	51.26	28.52	455	3433860	88.4
Af_289	secondary	18.9	11.96	191	1185589	85.5
Af_29	secondary	21.16	12.67	190	1257530	85.0
Af_290	secondary	45.73	28.63	373	3062808	87.8
Af_291	secondary	51.8	35.12	555	3477450	86.2
Af_292	secondary	36.44	22.07	289	2365312	88.2
Af_293	secondary	64.77	42.06	593	4563989	86.0
Af_294	secondary	39.77	22.84	281	2630824	87.6
Af_295	secondary	16.63	9.54	213	956290	86.3
Af_296	secondary	5.96	2.91	59	163187	70.8
Af_297	secondary	17.56	9.73	160	1084763	87.6
Af_298	secondary	23.6	14.12	325	1558704	84.7
Af_299	secondary	29.82	17.53	211	1941791	88.3
Af_3	secondary	10.31	6.3	160	489588	72.1
Af_30	secondary	5.48	3	82	133696	54.8
Af_300	secondary	25.94	15.34	249	1667272	86.2
Af_301	secondary	20.01	11.96	208	1242146	86.4
Af_302	secondary	28.92	17.4	247	1917445	87.3
Af_303	secondary	51.1	32.62	539	3555550	86.5
Af_304	secondary	4.68	5.9	95	1586	7.7
Af_305	secondary	4.29	2.86	22	493	4.1
Af_306	secondary	4.17	1.07	6	25	0.7
Af_307	secondary	11.7	24.44	85	117	2.4
Af_308	secondary	25.45	15.21	273	1620335	87.0
Af_31	secondary	37.97	23.42	350	2424838	87.0
Af_310	secondary	81.29	60.29	1051	5366490	74.1
Af_311	secondary	42.08	26.04	305	2778374	89.4
Af_312	secondary	20.22	12.07	197	1221405	84.5
Af_313	secondary	24.05	14.74	235	1512999	85.8
Af_315	secondary	27.64	17.04	286	1773172	86.2
Af_316	secondary	31.82	19.4	318	2039533	88.5
Af_317	secondary	20.76	12.06	164	1274443	86.0
Af_318	secondary	16.25	8.96	134	971309	87.1
Af_32	secondary	22.94	13.08	217	1369986	85.5
Af_320	secondary	41.61	24.59	390	2790334	88.9
Af_321	secondary	36.09	21.52	293	2392234	89.5
Af_322	secondary	19.27	10.49	154	1212599	86.7
Af_323	secondary	38.65	23.05	285	2580350	87.9
Af_324	secondary	22.57	12.84	178	1429005	86.8
Af_325	secondary	26.66	15.85	204	1712905	87.3
Af_326	secondary	22.28	12.79	181	1400067	87.8
Af_327	secondary	40.12	24.26	319	2719315	87.9
Af_329	secondary	27.2	15.87	282	1770804	84.8
Af_33	secondary	24.23	15.01	241	1489940	82.5
Af_331	secondary	46.02	27.47	354	3127085	89.1
Af_332	secondary	32.67	19.45	346	2150968	86.5
Af_333	secondary	34.95	22.7	305	2307146	88.9
Af_334	secondary	41.92	30.14	361	3007375	88.1
Af_335	secondary	44.52	30.28	386	2995053	87.5
Af_336	secondary	33.86	22.42	315	2221334	87.5
Af_337	secondary	41.12	28.58	365	2779964	88.3
Af_338	secondary	27.75	18.66	332	1797707	85.9
Af_34	secondary	17.12	9.31	151	983496	84.8
Af_340	secondary	21.1	13.24	191	1298492	84.5
Af_341	secondary	33.48	22.28	276	2221292	88.0
Af_343	secondary	47.18	28.75	425	3242218	86.4
Af_344	secondary	30.4	17.99	258	1988911	86.1
Af_345	secondary	24.99	14.56	217	1577395	88.7
Af_346	secondary	39.25	23.6	287	2591692	89.2
Af_349	secondary	23.99	14.33	223	1504648	88.2
Af_35	secondary	23.16	14.97	255	1407574	75.7
Af_350	secondary	34.8	21.13	303	2289298	89.0
Af_351	secondary	38.23	23.59	297	2566136	88.8
Af_352	secondary	20.95	12.42	247	1287656	86.8
Af_353	secondary	27.76	16.14	250	1767954	88.6
Af_354	secondary	16.02	8.89	130	955491	86.6
Af_355	secondary	33.02	19.48	229	2186208	88.5
Af_356	secondary	23.96	14.26	245	1529113	86.7
Af_357	secondary	33.02	20.68	276	2150013	88.7
Af_358	secondary	43.48	28.18	455	2883705	87.0
Af_359	secondary	47.37	31.26	394	3221135	88.3
Af_36	secondary	17.23	10.65	220	979940	76.0
Af_361	secondary	21.36	12.87	219	1320543	83.5
Af_363	secondary	40.78	27.16	402	2772361	87.7
Af_364	secondary	32.93	20.77	296	2162644	88.8
Af_365	secondary	29.81	18.2	278	1873972	89.3
Af_366	secondary	36.06	22.35	274	2385957	89.4
Af_368	secondary	48.87	31.35	606	3389246	86.4
Af_37	secondary	17.06	9.34	191	957830	88.0
Af_370	secondary	31.82	18.97	314	2079649	85.4
Af_371	secondary	42.01	25.39	412	2808569	88.6
Af_372	secondary	35.53	21.28	336	2331537	87.3
Af_374	secondary	27.58	17.05	267	1767355	88.7
Af_375	secondary	50.98	33.68	605	3540048	88.1
Af_376	secondary	29.67	17.68	235	1916967	88.8
Af_377	secondary	21.04	12	171	1314224	85.8
Af_378	secondary	39.59	24.17	343	2645534	88.6
Af_379	secondary	33.31	19.93	305	2189553	86.7
Af_38	secondary	12.31	6.55	117	656232	85.8
Af_381	secondary	38.25	23.2	315	2574942	85.8
Af_382	secondary	25.76	15.65	242	1630777	88.7
Af_383	secondary	36.15	24.21	334	2434094	86.9
Af_384	secondary	45.51	30.15	596	3130670	87.6
Af_385	secondary	47.46	30.64	363	3272187	88.8
Af_386	secondary	30.91	20.45	248	2073667	87.8
Af_387	secondary	27.99	18.5	277	1815976	85.8
Af_388	secondary	43.28	30.12	348	3049381	86.0
Af_389	secondary	37.2	24.03	361	2453048	86.7
Af_39	secondary	25.48	14.63	220	1521651	86.0
Af_390	secondary	37.99	25.27	355	2650687	88.0
Af_391	secondary	24.85	14.39	202	1584113	87.3
Af_392	secondary	45	30.55	353	3132700	87.5
Af_393	secondary	6.86	3.95	62	166698	66.5
Af_394	secondary	24.5	18.27	218	1500590	86.9
Af_395	secondary	27.16	19.62	233	1708238	85.3
Af_396	secondary	24.9	17.68	206	1554440	83.5
Af_397	secondary	24.14	17.93	231	1474861	86.4
Af_398	secondary	12.87	8.44	139	693623	81.9
Af_399	secondary	29.55	22.35	356	1888427	83.5
Af_4	secondary	15.67	8.35	149	884457	82.5
Af_40	secondary	12.48	7.05	109	663641	81.0
Af_400	secondary	14.91	10.08	183	843852	84.2
Af_401	secondary	23.4	17.19	267	1502735	85.9
Af_402	secondary	19.21	11.32	185	1153047	85.4
Af_403	secondary	45.14	27.52	322	2980708	87.9
Af_404	secondary	19.64	11.63	148	1227896	86.3
Af_405	secondary	53.54	36.95	410	3622474	86.9
Af_406	secondary	61.75	41.45	446	4254273	88.0
Af_407	secondary	54.72	36.31	434	3700437	87.4
Af_408	secondary	49.42	32.38	487	3371499	83.3
Af_409	secondary	55.49	37.41	513	3804069	85.9
Af_41	secondary	15.17	8.47	124	843460	85.2
Af_410	secondary	60.77	41.48	520	4249190	86.9
Af_411	secondary	47.28	31.3	363	3200838	86.3
Af_412	secondary	44.46	28.04	334	2942090	87.7
Af_414	secondary	20.64	11.68	150	1229035	85.5
Af_415	secondary	43.94	26.5	341	2914565	87.5
Af_417	secondary	23.08	15.41	193	1449609	85.9
Af_418	secondary	32.7	21.86	240	2059408	87.7
Af_419	secondary	40.15	27.66	425	2588856	86.3
Af_420	secondary	28.43	18.3	312	1770377	87.9
Af_421	secondary	23.57	15.37	182	1426906	87.4
Af_422	secondary	35.06	24.17	364	2230338	86.0
Af_423	secondary	29.82	20	282	1891868	81.7
Af_424	secondary	27.4	17.92	191	1677862	87.5
Af_425	secondary	32.98	22.08	263	2129205	87.6
Af_426	secondary	20.07	11.83	152	1262697	85.6
Af_427	secondary	45.93	27.34	424	3071417	86.3
Af_428	secondary	32.53	19.43	239	2144440	84.8
Af_429	secondary	50.82	38.4	516	3382694	87.2
Af_43	secondary	20.59	11.83	164	1198914	85.5
